baseline_idx1,baseline_idx2,window,wl_start_um,wl_end_um,coef_x1,coef_x0
2,5,0,3.2,4.0,-0.5528574810059772,3.6102831334077647
2,5,1,4.55,4.9,-0.046694663184011866,1.4954285170235384
3,4,0,3.2,4.0,-0.08933906544792702,1.4823439728488548
3,4,1,4.55,4.9,0.09688689799246511,0.5793394638258118
