wl,U3-U4,U3-U4_std,U2-U1,U2-U1_std,U1-U3,U1-U3_std,U1-U4,U1-U4_std,U2-U3,U2-U3_std,U2-U4,U2-U4_std
5.155021881364519e-06,1.0627336980366886,0.061572684566039954,0.9196025799262569,0.08848910054545998,0.2972971768626145,0.23644035196026134,0.31971663733276456,0.16183184171976797,3.1509607251019807,1.61259540298457,3.2520199245564196,1.4064803722922876
5.136316758580506e-06,1.0194693081728068,0.031288185562155554,0.9480673234902453,0.071222700990247,0.8034767972730958,0.25998392100200113,0.7710324095754322,0.2409129988037494,1.3683440359403622,0.5758614119475747,1.3940137662286793,0.6177736473750287
5.117798082210356e-06,1.0148119161062046,0.027848410772027488,0.957870773299119,0.06321308279947438,0.9226760046440245,0.21399384954154446,0.9166300543656833,0.20185776007150527,1.1447165929177916,0.36003799909783624,1.1346419896226525,0.3905156907800631
5.099455847812351e-06,1.0111901626959474,0.02421347579610364,0.9745027434939519,0.04999668195461806,1.0613044023539437,0.05942609512004531,1.1051731045753266,0.0570836196454178,0.9118077226056902,0.024276703462894643,0.8743841941905859,0.044817874009901795
5.081280505692121e-06,1.011229921873634,0.024145011458839766,0.9734032509361664,0.04960374336214285,1.090357372614057,0.04670902517828503,1.1486714007149121,0.05188017493973014,0.898530786250334,0.0061557934936719945,0.8603187924175513,0.02483215945207436
5.063262051407946e-06,1.0096694724908262,0.02404570234893764,0.97394223976524,0.04883433433100887,1.0953874233491758,0.04548204897429176,1.1509189058152915,0.05245189600725719,0.8964161898309039,0.005784391994117144,0.8593086369196546,0.024302173162651396
5.045390935265459e-06,1.0087967902563633,0.02535300137753268,0.9739066259801816,0.04817981665525449,1.096508403129738,0.046041144623045226,1.1526771062347305,0.05214300943757023,0.8926055728181621,0.006338850685022153,0.8565548505317443,0.025581688680047936
5.0276580623176415e-06,1.0085160687660677,0.024158632815837078,0.9760345396893546,0.04728801241435987,1.105146865760076,0.04669747415108337,1.1625259138244048,0.05362981327239555,0.8905435379505895,0.004121593490363282,0.8493800560906114,0.022385542773524662
5.0100543376174755e-06,1.0073930871345578,0.02347692668328347,0.9756935738836356,0.04715647667614547,1.1045356173085774,0.0463645559863202,1.1576189582512952,0.05310940629800109,0.8924511234121091,0.004584181095301823,0.8515464831159814,0.022618967593251833
4.992570666217944e-06,1.0069162129147966,0.023874919627126102,0.9758863496213676,0.046715945696876426,1.103937016759933,0.04676185438334646,1.1555790691045216,0.05280115870271136,0.8917880920260642,0.004833456420271745,0.8508300723081992,0.022897930011903316
4.975197953172028e-06,1.0062880640096967,0.023583876558845775,0.9766399375229665,0.04620059412007412,1.1031003153788324,0.04709373356469311,1.1539330447240688,0.05299668251192574,0.8927921065907416,0.005608269359965455,0.8499234983037522,0.022732625210564083
4.957927558280062e-06,1.0052470340220934,0.021536402895013726,0.9764354915475989,0.045596625500947154,1.1020308550844815,0.04684061437177738,1.1514616809263132,0.052860058109848396,0.8931655221079728,0.006604926744812286,0.8495076297331785,0.021574271114076223
4.940750841342378e-06,1.0047534992063984,0.021406514393917515,0.9769206565703376,0.04494920739141473,1.0952594174004986,0.047623607126304965,1.1437721860499126,0.05274310186117851,0.8943704814386875,0.0063856330145834065,0.8508085901163268,0.02382047842538557
4.9236596169066615e-06,1.0045709076601317,0.021114992623636808,0.9775564133300383,0.0438844403052632,1.097187353635821,0.04881091715272673,1.1459936384037794,0.05430900267973586,0.8916041168424662,0.006101543040331018,0.8478834902034251,0.02384440285860467
4.906645699520595e-06,1.003489728662348,0.020384767271637298,0.9773323448659887,0.04335738447249294,1.0955637393625595,0.05081642257219136,1.1442302518408256,0.056170886985333096,0.8903370888264261,0.005692334156406334,0.8461151214811019,0.025335020429507308
4.889700448984513e-06,1.003253289928002,0.019992739606491707,0.9762800114706915,0.043203405165962945,1.0963597581554558,0.05217614579071698,1.1469756688893522,0.05757118120824703,0.8881547543316186,0.005362077036115865,0.8443858856525208,0.023109673173149055
4.8728165893408e-06,1.0032569060048482,0.021466541356943276,0.9750969949821822,0.04275139526277658,1.097690925671646,0.05334767727811317,1.1477355667855584,0.06016069519081892,0.8867821829366738,0.005494224900505526,0.8434221799449853,0.023642252339519783
4.8559859351371415e-06,1.0023916932218517,0.022046345015113128,0.9749141367990455,0.04195389880052678,1.1057499571080718,0.05155960011704873,1.1553837763032255,0.06017636497072201,0.8821346314378542,0.004721067916449341,0.8392787147399092,0.02246631061841127
4.839200755668571e-06,1.0020974660718416,0.02207365550851074,0.9741769630474542,0.04108800045647721,1.1249189210430552,0.05217234948484732,1.1750305266952685,0.062444671984576566,0.8725123986880643,0.00902085162527277,0.8293262516120862,0.016568831660820346
4.822454229724826e-06,1.0027422353428475,0.022012786750258174,0.973818276254042,0.0401009967276884,1.129680961812459,0.05137168524884451,1.177994714815994,0.06104456843375749,0.8712591185187732,0.009785582987664248,0.8251367311414501,0.015460079403737326
4.805738171853591e-06,1.0031170656269612,0.022462879466678146,0.9746022456300498,0.03864253673463815,1.129221989828735,0.05122422666545658,1.1762182621636144,0.061742005294999874,0.8730804047892062,0.010464192408134697,0.825813886329307,0.01593959366756383
4.789046215591952e-06,1.0023603656883204,0.02170055290273732,0.9755399770596256,0.03759113398974909,1.1227679099762642,0.04933857906428907,1.1692727150153595,0.05942715369499033,0.882283241669847,0.012231592364985937,0.8314455462363141,0.014802648693571688
4.7723706302349456e-06,1.0013824686500428,0.021040896467675704,0.9761217687256121,0.03680575872837765,1.1148171971824659,0.048133484321608126,1.1614127927859355,0.05781014412416169,0.8842076976987634,0.00977257800317257,0.8305255419852529,0.017431550394024557
4.7557050493196584e-06,1.0011467182451308,0.02190259173954702,0.9765332400156341,0.03596544713206395,1.1144857054640962,0.04851298980453838,1.1622606151981123,0.059719851361587924,0.8834805944293433,0.01019323854268842,0.8274706875818978,0.018558832671755635
4.7390426516358275e-06,1.0007414062114548,0.022329098410624103,0.9775629242169882,0.03481138546207752,1.1234220530578973,0.048650014355482316,1.1735016149088242,0.06183220343438655,0.8801389352185749,0.010813935567928841,0.8230228299614051,0.017354003394028622
4.72237707072054e-06,1.0000147745618198,0.0221661726002186,0.9789888854474043,0.03331107901857528,1.1289512475574035,0.04948071627535441,1.17870937724877,0.06265168831738323,0.8710452152391774,0.010452721582348633,0.8147788983525792,0.020453373384656397
4.705701485363534e-06,0.9995768149708157,0.022807428184891808,0.980627480715212,0.03233264825165328,1.1424524772744715,0.0531748627062372,1.193928485248878,0.0669539127896601,0.8606931074155294,0.011000579571296132,0.8061345445995998,0.02075104249232968
4.689010438596597e-06,0.999356321580044,0.022612643613011844,0.9822115576283612,0.03119405893615192,1.1456387747662644,0.05626025179078547,1.1976418577084367,0.07016811296422838,0.863555555350461,0.013348736916546498,0.808731698719631,0.0190590693697994
4.672297109209467e-06,0.9990561350240624,0.02215429659978485,0.9853614797620132,0.030093227224607746,1.1307174191740854,0.05714062024507104,1.1805054141328921,0.0701619477003808,0.871633858963158,0.011821735055250165,0.8170432696108978,0.020862171978217277
4.6555560402339324e-06,0.998638375353171,0.02182280555153343,0.9877278384970132,0.02953692504692213,1.1136538210714735,0.05949662552812591,1.1625721903935082,0.07157864280471012,0.8786467454546031,0.013003031516202905,0.8256069620564007,0.024876039111370565
4.6387813199544325e-06,0.9979017685776091,0.022248262388002926,0.9891227964191702,0.029504849210764638,1.1090740904327592,0.06247835646821148,1.158037923704851,0.07484709888739237,0.8859744754118457,0.013884476738557493,0.8333277562033362,0.024591597950060058
